arxiv_id,date,thread,thread_name,category,flagged_math_GM,published_journal_ref,title,authors,url
2505.05493,2025-05-03,A,Spectral / Hilbert–Pólya / operator,math.OC,False,,"FTNILO: Explicit Multivariate Function Inversion, Optimization and Counting, Cryptography Weakness and Riemann Hypothesis Solution Equation with Tensor Networks",Alejandro Mata Ali,https://arxiv.org/abs/2505.05493
2503.09644,2025-03-12,A,Spectral / Hilbert–Pólya / operator,math.GM,True,,A Majorana Relativistic Quantum Spectral Approach to the Riemann Hypothesis in (1+1)-Dimensional Rindler Spacetimes,Fabrizio Tamburini,https://arxiv.org/abs/2503.09644
2502.01288,2025-02-03,A,Spectral / Hilbert–Pólya / operator,math.NT,False,,On an unconditional $\rm GL_3$ analog of Selberg's result,Qingfeng Sun; Hui Wang,https://arxiv.org/abs/2502.01288
2501.09610,2025-01-16,A,Spectral / Hilbert–Pólya / operator,quant-ph,False,,Elucidating the Physical and Mathematical Properties of the Prouhet-Thue-Morse Sequence in Quantum Computing,Denis Janković; Rémi Pasquier; Jean-Gabriel Hartmann; Paul-Antoine Hervieux,https://arxiv.org/abs/2501.09610
2501.06560,2025-01-11,A,Spectral / Hilbert–Pólya / operator,math.NT,False,,"Knots, primes and class field theory",Alain Connes; Caterina Consani,https://arxiv.org/abs/2501.06560
2412.16317,2024-12-20,A,Spectral / Hilbert–Pólya / operator,math.NA,False,,Computation and properties of the Epstein zeta function with applications to quantum systems,Andreas A. Buchheit; Jonathan Busse; Ruben Gutendorf,https://arxiv.org/abs/2412.16317
2412.11130,2024-12-15,A,Spectral / Hilbert–Pólya / operator,math.GM,True,,Investigation about a statement equivalent to Riemann Hypothesis (RH),Giovanni Lodone,https://arxiv.org/abs/2412.11130
2410.17158,2024-10-22,A,Spectral / Hilbert–Pólya / operator,math.NT,False,,Zeros of $L$-functions in families near the critical line,Valentin Blomer; Jesse Thorner,https://arxiv.org/abs/2410.17158
2408.15135,2024-08-27,A,Spectral / Hilbert–Pólya / operator,math-ph,False,,Nontrivial Riemann Zeros as Spectrum,Enderalp Yakaboylu,https://arxiv.org/abs/2408.15135
2408.01095,2024-08-02,A,Spectral / Hilbert–Pólya / operator,physics.optics,False,"Phys. Rev. B 110, L220201 (2024)",Computing Riemann zeros with light scattering,Sunkyu Yu; Xianji Piao; Namkyoo Park,https://arxiv.org/abs/2408.01095
2405.09158,2024-05-15,A,Spectral / Hilbert–Pólya / operator,math-ph,False,,Spectral zeta function and ground state of quantum Rabi model,Fumio Hiroshima; Tomoyuki Shirai,https://arxiv.org/abs/2405.09158
2404.11902,2024-04-18,A,Spectral / Hilbert–Pólya / operator,math.CA,False,,On the spectrum of a differential operator on a Hilbert-Pólya space,Xian-Jin Li,https://arxiv.org/abs/2404.11902
2404.01003,2024-04-01,A,Spectral / Hilbert–Pólya / operator,math.NT,False,,On the Brun--Titchmarsh theorem. I,Ping Xi; Junren Zheng,https://arxiv.org/abs/2404.01003
2404.00583,2024-03-31,A,Spectral / Hilbert–Pólya / operator,math.GM,True,,"If our chaotic operator is derived correctly, then the Riemann hypothesis holds true",Zeraoulia Rafik; Pedro Caceres,https://arxiv.org/abs/2404.00583
2403.19118,2024-03-28,A,Spectral / Hilbert–Pólya / operator,quant-ph,False,,Non-Abelian observable-geometric phases and the Riemann zeros,Zeqian Chen,https://arxiv.org/abs/2403.19118
2406.12863,2024-03-16,A,Spectral / Hilbert–Pólya / operator,math.GM,True,"IntechOpen, Chaotic Dynamics Derived from the Montgomery Conjecture: Application to Electrical Systems, London, 2025,",Chaotic Dynamics Derived from the Montgomery Conjecture: Application to Electrical Systems,Zeraoulia Rafik; Alvaro Humberto Salas; Ayadi Souad,https://arxiv.org/abs/2406.12863
2403.00713,2024-03-01,A,Spectral / Hilbert–Pólya / operator,hep-th,False,,From spectral to scattering form factor,Massimo Bianchi; Maurizio Firrotta; Jacob Sonnenschein; Dorin Weissman,https://arxiv.org/abs/2403.00713
2402.13082,2024-02-20,A,Spectral / Hilbert–Pólya / operator,math.NT,False,,Heat Expansion and Zeta,Alain Connes,https://arxiv.org/abs/2402.13082
2312.15470,2023-12-24,A,Spectral / Hilbert–Pólya / operator,physics.flu-dyn,False,"Physics of Fluids 36, 095161 (2024)",Quantum Solution of Classical Turbulence. Decaying Energy Spectrum,Alexander Migdal,https://arxiv.org/abs/2312.15470
2311.12493,2023-11-21,A,Spectral / Hilbert–Pólya / operator,quant-ph,False,,Quantum Mechanics on a background modulo observation,Jose A. Pereira Frugone,https://arxiv.org/abs/2311.12493
2406.12852,2023-11-09,A,Spectral / Hilbert–Pólya / operator,math.GM,True,,Analyzing Dynamical Systems Inspired by Montgomery's Conjecture: Insights into Zeta Function Zeros and Chaos in Number Theory,Zeraoulia Rafik; Pedro Caceres,https://arxiv.org/abs/2406.12852
2309.00405,2023-09-01,A,Spectral / Hilbert–Pólya / operator,math-ph,False,J. Phys. A: Math. Theor. 57 235204 (2024),Hamiltonian for the Hilbert-Pólya Conjecture,Enderalp Yakaboylu,https://arxiv.org/abs/2309.00405
2308.11704,2023-08-22,A,Spectral / Hilbert–Pólya / operator,hep-th,False,,What is the Simplest Linear Ramp?,Suman Das; Sumit K. Garg; Chethan Krishnan; Arnab Kundu,https://arxiv.org/abs/2308.11704
2308.06766,2023-08-13,A,Spectral / Hilbert–Pólya / operator,math-ph,False,"Phys. Rev. Lett. 132, 220401 (2024)",Statistics of local level spacings in single- and many-body quantum chaos,Peng Tian; Roman Riser; Eugene Kanzieper,https://arxiv.org/abs/2308.06766
2301.05360,2023-01-13,A,Spectral / Hilbert–Pólya / operator,math-ph,False,,"High-Order SUSY-QM, the Quantum XP Model and zeroes of the Riemann Zeta function",Juan D García-Muñoz; A Raya; Y Concha-S,https://arxiv.org/abs/2301.05360
2211.04382,2022-11-08,A,Spectral / Hilbert–Pólya / operator,hep-th,False,,Supersymmetric quantum mechanics and the Riemann hypothesis,Pushpa Kalauni; Kimball A Milton,https://arxiv.org/abs/2211.04382
2211.01899,2022-11-03,A,Spectral / Hilbert–Pólya / operator,math-ph,False,,Formally Self-Adjoint Hamiltonian for the Hilbert-Pólya Conjecture,Enderalp Yakaboylu,https://arxiv.org/abs/2211.01899
2209.14428,2022-09-28,A,Spectral / Hilbert–Pólya / operator,math.NT,False,,On Pidduck polynomials and zeros of the Riemann zeta function,Ori J. Ganor,https://arxiv.org/abs/2209.14428
2209.13010,2022-09-19,A,Spectral / Hilbert–Pólya / operator,math.GM,True,,Iterating sum of power divisor function and New equivalence to the Riemann hypothesis,Pedro Caceres; Zeraoulia Rafik,https://arxiv.org/abs/2209.13010
2209.07468,2022-09-12,A,Spectral / Hilbert–Pólya / operator,cond-mat.mes-hall,False,J. Stat. Mech. (2023) 023103,Phenomenological formula for Quantum Hall resistivity based on the Riemann zeta function,André LeClair,https://arxiv.org/abs/2209.07468
2207.00727,2022-07-02,A,Spectral / Hilbert–Pólya / operator,gr-qc,False,Phys. Lett. B 833 (2022) 137285,Resolution of challenging problems in quantum cosmology with electromagnetic radiation,S. Jalalzadeh,https://arxiv.org/abs/2207.00727
2204.00899,2022-04-02,A,Spectral / Hilbert–Pólya / operator,math.NT,False,"Journal of Advances in Applied Mathematics, Vol. 2, No. 4, October 2017",On Prime Numbers and The Riemann Zeros,Lucian M. Ionescu,https://arxiv.org/abs/2204.00899
2202.13907,2022-02-28,A,Spectral / Hilbert–Pólya / operator,gr-qc,False,"Annalen der Physik, 202200383 (2022)",Particles in Loop Quantum Gravity formalism: a thermodynamical description,A. A. Araújo Filho,https://arxiv.org/abs/2202.13907
2202.04284,2022-02-09,A,Spectral / Hilbert–Pólya / operator,math.PR,False,,Convergence of random holomorphic functions with real zeros and extensions of the stochastic zeta function,Joseph Najnudel; Ashkan Nikeghbali,https://arxiv.org/abs/2202.04284
2201.12968,2022-01-31,A,Spectral / Hilbert–Pólya / operator,math.NT,False,,A note on log-type GCD sums and derivatives of the Riemann zeta function,Daodao Yang,https://arxiv.org/abs/2201.12968
2112.05500,2021-12-10,A,Spectral / Hilbert–Pólya / operator,math.NT,False,,Prolate spheroidal operator and Zeta,Alain Connes; Henri Moscovici,https://arxiv.org/abs/2112.05500
2109.10844,2021-09-22,A,Spectral / Hilbert–Pólya / operator,math.NT,False,,Hilbert spaces and low-lying zeros of L-functions,Emanuel Carneiro; Andrés Chirre; Micah B. Milinovich,https://arxiv.org/abs/2109.10844
2109.03080,2021-09-07,A,Spectral / Hilbert–Pólya / operator,quant-ph,False,,Using quantum mechanics for calculation of different infinite sums,Petar Mali; Milica Rutonjski; Slobodan Radošević; Milan Pantić; Milica Pavkov-Hrvojević,https://arxiv.org/abs/2109.03080
2106.04644,2021-06-08,A,Spectral / Hilbert–Pólya / operator,math.NT,False,,Existence of a zero-free strip for the Riemann zeta function,Peter Burton,https://arxiv.org/abs/2106.04644
2106.01715,2021-06-03,A,Spectral / Hilbert–Pólya / operator,math.NT,False,,Spectral Triples and Zeta-Cycles,Alain Connes; Caterina Consani,https://arxiv.org/abs/2106.01715
2102.06936,2021-02-13,A,Spectral / Hilbert–Pólya / operator,quant-ph,False,"npj Quantum Information volume 7, Article number: 109 (2021)",Riemann zeros from a periodically-driven trapped ion,Ran He; Ming-Zhong Ai; Jin-Ming Cui; Yun-Feng Huang; Yong-Jian Han; Chuan-Feng Li; Guang-Can Guo; G. Sierra,https://arxiv.org/abs/2102.06936
2607.01184,2026-07-01,B,Random matrix theory & moments,math.NT,False,,"Lower bounds for low moments of character sums, I: Short sums with general multiplicative weights",Adam J. Harper,https://arxiv.org/abs/2607.01184
2606.27323,2026-06-25,B,Random matrix theory & moments,math.NT,False,,Amplified moments of the Riemann zeta function,Benjamin Durkan; Timothy Page,https://arxiv.org/abs/2606.27323
2606.12376,2026-06-10,B,Random matrix theory & moments,math.NT,False,,A note on a conjecture of Ng,Andrew Pearce-Crump,https://arxiv.org/abs/2606.12376
2606.07312,2026-06-05,B,Random matrix theory & moments,math.NT,False,,Connection between the Riemann zeta-function and random matrices via hyperfunctions,Masahiro Mine,https://arxiv.org/abs/2606.07312
2605.24363,2026-05-23,B,Random matrix theory & moments,math.NT,False,,The $θ= \infty$ Conjecture and the Riemann Hypothesis for Automorphic $L$-functions,Anji Dong; Nawapan Wattanawanichkul; Alexandru Zaharescu,https://arxiv.org/abs/2605.24363
2604.03051,2026-04-03,B,Random matrix theory & moments,math-ph,False,,Higher order derivative moments of CUE characteristic polynomials and the Riemann zeta function,Alexander Grover; Francesco Mezzadri; Nick Simm,https://arxiv.org/abs/2604.03051
2603.01711,2026-03-02,B,Random matrix theory & moments,math.NT,False,,Lower bounds for the large deviations and moments of the Riemann zeta function on the critical line,Louis-Pierre Arguin; Nathan Creighton,https://arxiv.org/abs/2603.01711
2603.01318,2026-03-01,B,Random matrix theory & moments,math.CO,False,,Analysis of moments and cumulants in alternating sign matrices,Jean-Christophe Pain,https://arxiv.org/abs/2603.01318
2601.06292,2026-01-09,B,Random matrix theory & moments,math.NT,False,,The discrete second moment of mixed derivatives of the Riemann zeta function,Benjamin Durkan; Christopher Hughes; Andrew Pearce-Crump,https://arxiv.org/abs/2601.06292
2511.18275,2025-11-23,B,Random matrix theory & moments,math.NT,False,,Variations of the Hardy Z-Function and the Montgomery Pair Correlation Conjecture,Yochay Jerby,https://arxiv.org/abs/2511.18275
2511.18118,2025-11-22,B,Random matrix theory & moments,math-ph,False,,Asymptotic analysis of a Family of Painlevé Functions with Applications to CUE Derivative Moments,Thomas Bothner; Fei Wei,https://arxiv.org/abs/2511.18118
2511.14415,2025-11-18,B,Random matrix theory & moments,math.NT,False,,Amplified Fourth Moment of the Riemann Zeta-Function and Applications,Hung M. Bui; Richard R. Hall; Martin Subira Jorge,https://arxiv.org/abs/2511.14415
2511.06109,2025-11-08,B,Random matrix theory & moments,math.NT,False,,Levinson's theorem and its generalization for Dirichlet L-functions,Swapnil Ray,https://arxiv.org/abs/2511.06109
2509.20335,2025-09-24,B,Random matrix theory & moments,math.NT,False,,A survey of moment bounds for $ζ(s)$: from Heath Brown's work to the present,Alexandra Florea,https://arxiv.org/abs/2509.20335
2509.07792,2025-09-09,B,Random matrix theory & moments,math.NT,False,,Integer moments of the derivatives of the Riemann zeta function,Christopher Hughes; Andrew Pearce-Crump,https://arxiv.org/abs/2509.07792
2509.07788,2025-09-09,B,Random matrix theory & moments,math.NT,False,,Complex moments of the derivative of the Riemann zeta function,Christopher Hughes; Andrew Pearce-Crump,https://arxiv.org/abs/2509.07788
2508.20797,2025-08-28,B,Random matrix theory & moments,math-ph,False,"SIGMA 22 (2026), 015, 21 pages",Higher-Order Linear Differential Equations for Unitary Matrix Integrals: Applications and Generalisations,Peter J. Forrester; Fei Wei,https://arxiv.org/abs/2508.20797
2508.01458,2025-08-02,B,Random matrix theory & moments,math.PR,False,,Bulk asymptotics of the Gaussian $β$-ensemble characteristic polynomial,Gaultier Lambert; Elliot Paquette,https://arxiv.org/abs/2508.01458
2507.15184,2025-07-21,B,Random matrix theory & moments,math.NT,False,,An explicit form of Ingham's zero density estimate,Shashi Chourasiya; Aleksander Simonič,https://arxiv.org/abs/2507.15184
2506.22014,2025-06-27,B,Random matrix theory & moments,math.NT,False,,On twisted period functions and Moments of a weighted mean square of Dirichlet L-functions on the critical line,Sebastien Darses; Berend Ringeling; Emmanuel Royer,https://arxiv.org/abs/2506.22014
2506.22634,2025-06-27,B,Random matrix theory & moments,math.NT,False,,A Rigorous Error Bound for the TG Kernel in Prime Counting,Bugra Kilictas; Faruk Alpay,https://arxiv.org/abs/2506.22634
2506.16766,2025-06-20,B,Random matrix theory & moments,math.NT,False,,On the error term of the fourth moment of the Riemann zeta-function,Neea Palojärvi; Tim Trudgian,https://arxiv.org/abs/2506.16766
2506.09334,2025-06-11,B,Random matrix theory & moments,math.NT,False,,Lower bounds for high moments of zeta sums,Zikang Dong; Weijia Wang; Hao Zhang,https://arxiv.org/abs/2506.09334
2505.23573,2025-05-29,B,Random matrix theory & moments,math.NT,False,,A Selberg-type zero-density result for twisted $\rm GL_2$ $L$-functions and its application,Qingfeng Sun; Hui Wang; Yanxue Yu,https://arxiv.org/abs/2505.23573
2503.21682,2025-03-27,B,Random matrix theory & moments,math.NT,False,,Twisted moments of characteristic polynomials of random matrices in the unitary group,Siegfred Baluyot; Brian Conrey,https://arxiv.org/abs/2503.21682
2502.07142,2025-02-11,B,Random matrix theory & moments,math-ph,False,,Moments of characteristic polynomials for classical $β$ ensembles,Bo-Jian Shen; Peter J. Forrester,https://arxiv.org/abs/2502.07142
2412.20099,2024-12-28,B,Random matrix theory & moments,math.NT,False,,The third moment of the logarithm of zeta and a twisted pair correlation conjecture,Alessandro Fazzari; Maxim Gerspach,https://arxiv.org/abs/2412.20099
2411.05573,2024-11-08,B,Random matrix theory & moments,math.NT,False,,The second moment of the Riemann zeta function at its local extrema,Christopher Hughes; Solomon Lugmayer; Andrew Pearce-Crump,https://arxiv.org/abs/2411.05573
2411.05568,2024-11-08,B,Random matrix theory & moments,math.NT,False,,Moments of the Riemann zeta function at its local extrema,Andrew Pearce-Crump,https://arxiv.org/abs/2411.05568
2409.03687,2024-09-05,B,Random matrix theory & moments,math.PR,False,,On moments of the derivative of CUE characteristic polynomials and the Riemann zeta function,Nick Simm; Fei Wei,https://arxiv.org/abs/2409.03687
2408.05306,2024-08-09,B,Random matrix theory & moments,math.NT,False,,The shifted fourth moment of modular form L-functions in the weight aspect,Olga Balkanova; Dmitry Frolenkov,https://arxiv.org/abs/2408.05306
2408.04247,2024-08-08,B,Random matrix theory & moments,math.NT,False,,Shifted second moment of the Riemann zeta function and a Fourier type kernel,Parikshit Dutta; Debashis Ghoshal; Krishnan Rajkumar,https://arxiv.org/abs/2408.04247
2407.20023,2024-07-29,B,Random matrix theory & moments,math.NT,False,,Optimization of the Implicit Constant for Upper Bounds for Moments of the Riemann zeta Function,Tingyu Tao,https://arxiv.org/abs/2407.20023
2407.19233,2024-07-27,B,Random matrix theory & moments,math.PR,False,,Exchangeable arrays and integrable systems for characteristic polynomials of random matrices,Theodoros Assiotis; Mustafa Alper Gunes; Jonathan P. Keating; Fei Wei,https://arxiv.org/abs/2407.19233
2407.14867,2024-07-20,B,Random matrix theory & moments,math.NT,False,,On a level analog of Selberg's result on $S(t)$,Qingfeng Sun; Hui Wang,https://arxiv.org/abs/2407.14867
2407.13124,2024-07-18,B,Random matrix theory & moments,math-ph,False,,Moments of the derivative of the characteristic polynomial of unitary matrices,Emilia Alvarez; Brian Conrey; Michael O. Rubinstein; Nina C. Snaith,https://arxiv.org/abs/2407.13124
2407.14526,2024-07-08,B,Random matrix theory & moments,math.NT,False,,A Random Matrix Model for a Family of Cusp Forms,Owen Barrett; Zoë X. Batterman; Aditya Jambhale; Steven J. Miller; Akash L. Narayanan; Kishan Sharma; Chris Yao,https://arxiv.org/abs/2407.14526
2406.08121,2024-06-12,B,Random matrix theory & moments,math.NT,False,,Moments of derivatives of the Riemann zeta function: Characteristic polynomials and the hybrid formula,Christopher Hughes; Andrew Pearce-Crump,https://arxiv.org/abs/2406.08121
2405.16429,2024-05-26,B,Random matrix theory & moments,math.NT,False,"Modern Math. Meth., 3,1,14-41(2025)",On a Generalized Moment Integral containing Riemann's Zeta Function: Analysis and Experiment,Michael Milgram; Roy Hughes,https://arxiv.org/abs/2405.16429
2405.12506,2024-05-21,B,Random matrix theory & moments,math.NT,False,,Upper bounds for moments of zeta sums,Peng Gao,https://arxiv.org/abs/2405.12506
2405.10888,2024-05-17,B,Random matrix theory & moments,math.NT,False,,The fourth moment of the Hurwitz zeta function,Winston Heap; Anurag Sahay,https://arxiv.org/abs/2405.10888
2405.08725,2024-05-14,B,Random matrix theory & moments,math.NT,False,,Lower bounds for shifted moments of the Riemann zeta function,Michael J. Curran,https://arxiv.org/abs/2405.08725
2403.00902,2024-03-01,B,Random matrix theory & moments,math.NT,False,,Sharp bounds for joint moments of the Riemann zeta function,Michael J. Curran; André Heycock,https://arxiv.org/abs/2403.00902
2401.01057,2024-01-02,B,Random matrix theory & moments,math.NT,False,,A reciprocity relation for the twisted second moment of the Riemman Zeta function,Rizwanur Khan,https://arxiv.org/abs/2401.01057
2312.08482,2023-12-13,B,Random matrix theory & moments,math.NT,False,,Asymptotic second moment of Dirichlet $L$-functions along a thin coset,Bradford Garcia; Matthew P. Young,https://arxiv.org/abs/2312.08482
2311.13441,2023-11-22,B,Random matrix theory & moments,math.NT,False,,"On convergence of points to limiting processes, with an application to zeta zeros",Juan Arias de Reyna; Brad Rodgers,https://arxiv.org/abs/2311.13441
2311.02783,2023-11-05,B,Random matrix theory & moments,math.NT,False,,Multiple integral formulas for weighted zeta moments: the case of the sixth moment,Sébastien Darses; Joseph Najnudel,https://arxiv.org/abs/2311.02783
2310.15918,2023-10-24,B,Random matrix theory & moments,math.NT,False,,On the joint second moment of zeta and its logarithmic derivative,Alessandro Fazzari,https://arxiv.org/abs/2310.15918
2310.09768,2023-10-15,B,Random matrix theory & moments,math.NT,False,,Moments of non-normal number fields -- II,Krishnarjun Krishnamoorthy,https://arxiv.org/abs/2310.09768
2310.14797,2023-10-10,B,Random matrix theory & moments,math.NT,False,"Rev. Mat. Iberoam. 40 (2024), 2179-2202",On the density hypothesis for $L$-functions associated with holomorphic cusp forms,Bin Chen; Gregory Debruyne; Jasson Vindas,https://arxiv.org/abs/2310.14797
2310.03949,2023-10-05,B,Random matrix theory & moments,math.NT,False,,Negative discrete moments of the derivative of the Riemann zeta-function,Hung M. Bui; Alexandra Florea; Micah B. Milinovich,https://arxiv.org/abs/2310.03949
2307.01625,2023-07-04,B,Random matrix theory & moments,math-ph,False,,Joint moments of higher order derivatives of CUE characteristic polynomials I: asymptotic formulae,Jonathan P. Keating; Fei Wei,https://arxiv.org/abs/2307.01625
2304.07581,2023-04-15,B,Random matrix theory & moments,math.NT,False,,Sharp upper bound for the sixth moment of the Riemann zeta function on the critical line,Thi Altenschmidt,https://arxiv.org/abs/2304.07581
2303.02977,2023-03-06,B,Random matrix theory & moments,math.PR,False,"Bernoulli, 2024, 30(4), 2547-2571",Moments of exponential functionals of Lévy processes on a deterministic horizon -- identities and explicit expressions,Zbigniew Palmowski; Hristo Sariev; Mladen Savov,https://arxiv.org/abs/2303.02977
2302.07226,2023-02-14,B,Random matrix theory & moments,math.NT,False,,Negative moments of the Riemann zeta-function,Hung M. Bui; Alexandra Florea,https://arxiv.org/abs/2302.07226
2212.04421,2022-12-08,B,Random matrix theory & moments,math.NT,False,,Implications of subconvexity bounds for the moments of zeta,Kevin Smith,https://arxiv.org/abs/2212.04421
2211.14918,2022-11-27,B,Random matrix theory & moments,math.NT,False,,On the number variance of zeta zeros and a conjecture of Berry,Meghann Moriah Lugar; Micah B. Milinovich; Emily Quesada-Herrera,https://arxiv.org/abs/2211.14918
2211.14625,2022-11-26,B,Random matrix theory & moments,math.NT,False,,On the logarithmic derivative of characteristic polynomials for random unitary matrices,Fan Ge,https://arxiv.org/abs/2211.14625
2211.11450,2022-11-21,B,Random matrix theory & moments,math.NT,False,,Twisted mixed moments of the Riemann zeta function,Javier Pliego,https://arxiv.org/abs/2211.11450
2211.11671,2022-11-21,B,Random matrix theory & moments,math.NT,False,,Currently there are no reasons to doubt the Riemann Hypothesis: The zeta function beyond the realm of computation,David W. Farmer,https://arxiv.org/abs/2211.11671
2210.15321,2022-10-27,B,Random matrix theory & moments,math.NT,False,,Mixed moments of the Riemann zeta function,Javier Pliego,https://arxiv.org/abs/2210.15321
2208.06922,2022-08-14,B,Random matrix theory & moments,math.NT,False,"Mathematika, vol. 69, 2023, no. 4, pp. 1081--1103",Lower bounds for negative moments of $ζ'(ρ)$,Peng Gao; Liangyi Zhao,https://arxiv.org/abs/2208.06922
2207.06287,2022-07-13,B,Random matrix theory & moments,math.NT,False,"Math. Comp. 92 (2023), 1817-1836",On Iwasawa $λ$-invariants for abelian number fields and random matrix heuristics,Daniel Delbourgo; Heiko Knospe,https://arxiv.org/abs/2207.06287
2206.04821,2022-06-10,B,Random matrix theory & moments,math.NT,False,,Moments of zeta and correlations of divisor-sums: stratification and Vandermonde integrals,Siegfred Baluyot; Brian Conrey,https://arxiv.org/abs/2206.04821
2108.13116,2021-08-30,B,Random matrix theory & moments,math.NT,False,,Lower bounds for moments of the derivative of the Riemann zeta function,Peng Gao,https://arxiv.org/abs/2108.13116
2108.09258,2021-08-20,B,Random matrix theory & moments,math.NT,False,,On Montgomery's pair correlation conjecture: a tale of three integrals,Emanuel Carneiro; Vorrapan Chandee; Andrés Chirre; Micah B. Milinovich,https://arxiv.org/abs/2108.09258
2107.02131,2021-07-05,B,Random matrix theory & moments,math.NT,False,,Local Statistics for Zeros of Artin-Schreier L-functions,Alexei Entin; Noam Pirani,https://arxiv.org/abs/2107.02131
2106.03057,2021-06-06,B,Random matrix theory & moments,math.NT,False,,Sharp lower bounds for moments of $ζ'(ρ)$,Peng Gao,https://arxiv.org/abs/2106.03057
2106.00165,2021-06-01,B,Random matrix theory & moments,math.NT,False,,Upper bounds for fractional joint moments of the Riemann zeta function,Michael J. Curran,https://arxiv.org/abs/2106.00165
2103.13542,2021-03-25,B,Random matrix theory & moments,math.NT,False,,Moments of the Hurwitz zeta function on the critical line,Anurag Sahay,https://arxiv.org/abs/2103.13542
