thread,thread_name,arxiv_id,date,title,authors,published,why,url
D,Positivity & explicit-formula criteria,2209.10522,2022-09-21,A Prime Power Equation,Timothy Redmond; Charles Ryavec,,"Constructs an entire Fourier-transform function vanishing at zeta zeros, yielding a zero-free prime power ident",https://arxiv.org/abs/2209.10522
E,"Zeros: computation, density, zero-free regions",2405.20552,2024-05-31,New large value estimates for Dirichlet polynomials,Larry Guth; James Maynard,,"Guth–Maynard breakthrough large-value estimates for Dirichlet polynomials, major input to zero-density theory.",https://arxiv.org/abs/2405.20552
E,"Zeros: computation, density, zero-free regions",2206.11729,2022-06-23,Half-isolated zeros and zero-density estimates,James Maynard; Kyle Pratt,,Maynard–Pratt introduce half-isolated zeros method improving classical Ingham–Huxley zero-density estimate.,https://arxiv.org/abs/2206.11729
E,"Zeros: computation, density, zero-free regions",2501.16779,2025-01-28,"New exponent pairs, zero density estimates, and zero additive energy estimates: a systematic approach",Terence Tao; Tim Trudgian; Andrew Yang,,Tao–Trudgian–Yang systematic exponent pairs and zero-density estimates via new ANTEDB database.,https://arxiv.org/abs/2501.16779
E,"Zeros: computation, density, zero-free regions",2212.06867,2022-12-13,Explicit zero-free regions for the Riemann zeta-function,Michael J. Mossinghoff; Timothy S. Trudgian; Andrew Yang,,Mossinghoff–Trudgian–Yang give widely-cited explicit zero-free region improvements for zeta.,https://arxiv.org/abs/2212.06867
E,"Zeros: computation, density, zero-free regions",2603.21490,2026-03-23,Zero-free regions inspired by work of Heath-Brown,Chiara Bellotti; Tim Trudgian; Andrew Yang,,Bellotti–Trudgian–Yang extend Heath-Brown's Linnik-constant ideas to sharpen explicit zero-free region.,https://arxiv.org/abs/2603.21490
E,"Zeros: computation, density, zero-free regions",2511.20059,2025-11-25,Zeta Zeros on the Critical Line,Daniel A. Goldston; Ade Irma Suriajaya,,Goldston–Suriajaya survey fifty years of pair correlation method and its applications.,https://arxiv.org/abs/2511.20059
E,"Zeros: computation, density, zero-free regions",2310.01913,2023-10-03,Fourier optimization and Montgomery's pair correlation conjecture,Emanuel Carneiro; Micah B. Milinovich; Antonio Pedro Ramos,,Carneiro–Milinovich–Ramos apply Fourier optimization framework to sharpen Montgomery's pair correlation bounds.,https://arxiv.org/abs/2310.01913
E,"Zeros: computation, density, zero-free regions",2306.04799,2023-06-07,An unconditional Montgomery Theorem for Pair Correlation of Zeros of the Riemann Zeta Function,Siegfred Alan C. Baluyot; Daniel Alan Goldston; Ade Irma Suriajaya; Caroline L. Turnage-Butterbaugh,"Acta Arith. 214 (2024), 357-376",Baluyot–Goldston–Suriajaya–Turnage-Butterbaugh prove unconditional analogue of Montgomery's pair correlation theorem.,https://arxiv.org/abs/2306.04799
F,General RH / critical line / large values,2501.14545,2025-01-24,Pair Correlation of Zeros of the Riemann Zeta Function I: Proportions of Simple Zeros and Critical Zeros,Siegfred Alan C. Baluyot; Daniel Alan Goldston; Ade Irma Suriajaya; Caroline L. Turnage-Butterbaugh,,"Extends Montgomery's pair correlation method to new horizontal-distribution results on zeta zeros, by leading researchers in the area.",https://arxiv.org/abs/2501.14545
F,General RH / critical line / large values,2603.28104,2026-03-30,Zeta Zeros in a Narrow Vertical Box,Daniel A. Goldston; Ade Irma Suriajaya,,Companion advance replacing RH with an explicit double-sum estimate to control simple critical-line zeros.,https://arxiv.org/abs/2603.28104
F,General RH / critical line / large values,2508.11108,2025-08-14,Short mollifiers of the Riemann zeta-function,J. Brian Conrey; David W. Farmer; Chung-Hang Kwan; Yongxiao Lin; Caroline L. Turnage-Butterbaugh,,"Conrey-Farmer et al. improve Levinson's method via calculus of variations, strengthening critical-line zero-proportion results.",https://arxiv.org/abs/2508.11108
F,General RH / critical line / large values,2503.07410,2025-03-10,"Large value estimates in number theory, harmonic analysis, and computer science",Larry Guth,,"Guth's survey unifies large value problems across analytic number theory, harmonic analysis, and CS, framing open directions.",https://arxiv.org/abs/2503.07410
